case,intent,stage,update_revision,update_scope,signature,accepted,store_revision,store_scope,operation
J02_g0_c1_recipient,swap,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J02_g0_c1_recipient,swap,old_replay,1,"[[""J02_g0_c1_recipient"", ""swap""]]",265230ae36583e3fe2c5c00330929d4b23c4d7021f624466b85ac514b0df992c,0,2,[],none
J02_g0_c1_color,keep,current,1,"[[""J02_g0_c1_color"", ""keep""]]",bcc849136d6703ad23ffcc3f142292f4243500c87b872a7de65339fca2a89080,1,1,"[[""J02_g0_c1_color"", ""keep""]]",keep
J02_g0_c1_color,keep,forged_opposite,2,"[[""J02_g0_c1_color"", ""swap""]]",forged,0,1,"[[""J02_g0_c1_color"", ""keep""]]",keep
J02_g0_c1_color,keep,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J02_g0_c1_color,keep,old_replay,1,"[[""J02_g0_c1_color"", ""keep""]]",bcc849136d6703ad23ffcc3f142292f4243500c87b872a7de65339fca2a89080,0,2,[],none
J02_g0_c1_color,swap,current,1,"[[""J02_g0_c1_color"", ""swap""]]",98bcdebb893b7e926da7da2fb27ce290bd357f1d4eba70ea3c4258ec7a77f652,1,1,"[[""J02_g0_c1_color"", ""swap""]]",swap
J02_g0_c1_color,swap,forged_opposite,2,"[[""J02_g0_c1_color"", ""keep""]]",forged,0,1,"[[""J02_g0_c1_color"", ""swap""]]",swap
J02_g0_c1_color,swap,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J02_g0_c1_color,swap,old_replay,1,"[[""J02_g0_c1_color"", ""swap""]]",98bcdebb893b7e926da7da2fb27ce290bd357f1d4eba70ea3c4258ec7a77f652,0,2,[],none
J02_g1_c0_recipient,keep,current,1,"[[""J02_g1_c0_recipient"", ""keep""]]",ff44c6395d1821cb1b2ede2e16c43426b0e1a48dcc0cb21dc7e9d215a7eef7dd,1,1,"[[""J02_g1_c0_recipient"", ""keep""]]",keep
J02_g1_c0_recipient,keep,forged_opposite,2,"[[""J02_g1_c0_recipient"", ""swap""]]",forged,0,1,"[[""J02_g1_c0_recipient"", ""keep""]]",keep
J02_g1_c0_recipient,keep,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J02_g1_c0_recipient,keep,old_replay,1,"[[""J02_g1_c0_recipient"", ""keep""]]",ff44c6395d1821cb1b2ede2e16c43426b0e1a48dcc0cb21dc7e9d215a7eef7dd,0,2,[],none
J02_g1_c0_recipient,swap,current,1,"[[""J02_g1_c0_recipient"", ""swap""]]",c95e180393b6c6baccb59f3c564a1ac7d7f37e865dbb20bc9fdaecf8c06d2622,1,1,"[[""J02_g1_c0_recipient"", ""swap""]]",swap
J02_g1_c0_recipient,swap,forged_opposite,2,"[[""J02_g1_c0_recipient"", ""keep""]]",forged,0,1,"[[""J02_g1_c0_recipient"", ""swap""]]",swap
J02_g1_c0_recipient,swap,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J02_g1_c0_recipient,swap,old_replay,1,"[[""J02_g1_c0_recipient"", ""swap""]]",c95e180393b6c6baccb59f3c564a1ac7d7f37e865dbb20bc9fdaecf8c06d2622,0,2,[],none
J02_g1_c0_color,keep,current,1,"[[""J02_g1_c0_color"", ""keep""]]",b8bab5672a4f8d879377785e57aa5ba63f1ca04bd2caea22a9c61f3ad8a8c08a,1,1,"[[""J02_g1_c0_color"", ""keep""]]",keep
J02_g1_c0_color,keep,forged_opposite,2,"[[""J02_g1_c0_color"", ""swap""]]",forged,0,1,"[[""J02_g1_c0_color"", ""keep""]]",keep
J02_g1_c0_color,keep,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J02_g1_c0_color,keep,old_replay,1,"[[""J02_g1_c0_color"", ""keep""]]",b8bab5672a4f8d879377785e57aa5ba63f1ca04bd2caea22a9c61f3ad8a8c08a,0,2,[],none
J02_g1_c0_color,swap,current,1,"[[""J02_g1_c0_color"", ""swap""]]",a83fe3d7c4d779804182f5c536732502a2cb6d67b56c024ff557e70692ba8076,1,1,"[[""J02_g1_c0_color"", ""swap""]]",swap
J02_g1_c0_color,swap,forged_opposite,2,"[[""J02_g1_c0_color"", ""keep""]]",forged,0,1,"[[""J02_g1_c0_color"", ""swap""]]",swap
J02_g1_c0_color,swap,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J02_g1_c0_color,swap,old_replay,1,"[[""J02_g1_c0_color"", ""swap""]]",a83fe3d7c4d779804182f5c536732502a2cb6d67b56c024ff557e70692ba8076,0,2,[],none
J02_g1_c1_recipient,keep,current,1,"[[""J02_g1_c1_recipient"", ""keep""]]",e77bf41ed97cdffd1619f52da0d04417f0ef95c87caf7e858c9dd2c26fc82444,1,1,"[[""J02_g1_c1_recipient"", ""keep""]]",keep
J02_g1_c1_recipient,keep,forged_opposite,2,"[[""J02_g1_c1_recipient"", ""swap""]]",forged,0,1,"[[""J02_g1_c1_recipient"", ""keep""]]",keep
J02_g1_c1_recipient,keep,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J02_g1_c1_recipient,keep,old_replay,1,"[[""J02_g1_c1_recipient"", ""keep""]]",e77bf41ed97cdffd1619f52da0d04417f0ef95c87caf7e858c9dd2c26fc82444,0,2,[],none
J02_g1_c1_recipient,swap,current,1,"[[""J02_g1_c1_recipient"", ""swap""]]",da426377da2bced44ebb152e3fad7714855c029a786aeb34d282bf48a0517c08,1,1,"[[""J02_g1_c1_recipient"", ""swap""]]",swap
J02_g1_c1_recipient,swap,forged_opposite,2,"[[""J02_g1_c1_recipient"", ""keep""]]",forged,0,1,"[[""J02_g1_c1_recipient"", ""swap""]]",swap
J02_g1_c1_recipient,swap,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J02_g1_c1_recipient,swap,old_replay,1,"[[""J02_g1_c1_recipient"", ""swap""]]",da426377da2bced44ebb152e3fad7714855c029a786aeb34d282bf48a0517c08,0,2,[],none
J02_g1_c1_color,keep,current,1,"[[""J02_g1_c1_color"", ""keep""]]",fde45413ef23beb7653167603cf246f645e84139fe6613579ac43bce3e1c9bf9,1,1,"[[""J02_g1_c1_color"", ""keep""]]",keep
J02_g1_c1_color,keep,forged_opposite,2,"[[""J02_g1_c1_color"", ""swap""]]",forged,0,1,"[[""J02_g1_c1_color"", ""keep""]]",keep
J02_g1_c1_color,keep,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J02_g1_c1_color,keep,old_replay,1,"[[""J02_g1_c1_color"", ""keep""]]",fde45413ef23beb7653167603cf246f645e84139fe6613579ac43bce3e1c9bf9,0,2,[],none
J02_g1_c1_color,swap,current,1,"[[""J02_g1_c1_color"", ""swap""]]",f75c1f8af317d43925f1cebf787a6d534f1d95419e2c25d94d38fc1dd30086b8,1,1,"[[""J02_g1_c1_color"", ""swap""]]",swap
J02_g1_c1_color,swap,forged_opposite,2,"[[""J02_g1_c1_color"", ""keep""]]",forged,0,1,"[[""J02_g1_c1_color"", ""swap""]]",swap
J02_g1_c1_color,swap,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J02_g1_c1_color,swap,old_replay,1,"[[""J02_g1_c1_color"", ""swap""]]",f75c1f8af317d43925f1cebf787a6d534f1d95419e2c25d94d38fc1dd30086b8,0,2,[],none
J03_g0_c0_recipient,keep,current,1,"[[""J03_g0_c0_recipient"", ""keep""]]",207b787e39bcab571a085246387959499d2ebbf38f0feaef87b81d8c26428d7e,1,1,"[[""J03_g0_c0_recipient"", ""keep""]]",keep
J03_g0_c0_recipient,keep,forged_opposite,2,"[[""J03_g0_c0_recipient"", ""swap""]]",forged,0,1,"[[""J03_g0_c0_recipient"", ""keep""]]",keep
J03_g0_c0_recipient,keep,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J03_g0_c0_recipient,keep,old_replay,1,"[[""J03_g0_c0_recipient"", ""keep""]]",207b787e39bcab571a085246387959499d2ebbf38f0feaef87b81d8c26428d7e,0,2,[],none
J03_g0_c0_recipient,swap,current,1,"[[""J03_g0_c0_recipient"", ""swap""]]",dd0b878b4580ca8d5df44df151734eb5cd0a9ad72176e8d41ca85ab05c741a63,1,1,"[[""J03_g0_c0_recipient"", ""swap""]]",swap
J03_g0_c0_recipient,swap,forged_opposite,2,"[[""J03_g0_c0_recipient"", ""keep""]]",forged,0,1,"[[""J03_g0_c0_recipient"", ""swap""]]",swap
J03_g0_c0_recipient,swap,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J03_g0_c0_recipient,swap,old_replay,1,"[[""J03_g0_c0_recipient"", ""swap""]]",dd0b878b4580ca8d5df44df151734eb5cd0a9ad72176e8d41ca85ab05c741a63,0,2,[],none
J03_g0_c0_color,keep,current,1,"[[""J03_g0_c0_color"", ""keep""]]",b243bac1e61964834b95f21890e793c9441ea7af80c9186f9417ecd874e46a88,1,1,"[[""J03_g0_c0_color"", ""keep""]]",keep
J03_g0_c0_color,keep,forged_opposite,2,"[[""J03_g0_c0_color"", ""swap""]]",forged,0,1,"[[""J03_g0_c0_color"", ""keep""]]",keep
J03_g0_c0_color,keep,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J03_g0_c0_color,keep,old_replay,1,"[[""J03_g0_c0_color"", ""keep""]]",b243bac1e61964834b95f21890e793c9441ea7af80c9186f9417ecd874e46a88,0,2,[],none
J03_g0_c0_color,swap,current,1,"[[""J03_g0_c0_color"", ""swap""]]",1489040d120bd5f3e0fdb244eaf02ca8c729dc40c3d0185dceb4a40e3500c2ea,1,1,"[[""J03_g0_c0_color"", ""swap""]]",swap
J03_g0_c0_color,swap,forged_opposite,2,"[[""J03_g0_c0_color"", ""keep""]]",forged,0,1,"[[""J03_g0_c0_color"", ""swap""]]",swap
J03_g0_c0_color,swap,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J03_g0_c0_color,swap,old_replay,1,"[[""J03_g0_c0_color"", ""swap""]]",1489040d120bd5f3e0fdb244eaf02ca8c729dc40c3d0185dceb4a40e3500c2ea,0,2,[],none
J03_g0_c1_recipient,keep,current,1,"[[""J03_g0_c1_recipient"", ""keep""]]",d932e39322542d49b6a339cdb3fd5cd7ee09acd22c873e4fb24a7853f53d2109,1,1,"[[""J03_g0_c1_recipient"", ""keep""]]",keep
J03_g0_c1_recipient,keep,forged_opposite,2,"[[""J03_g0_c1_recipient"", ""swap""]]",forged,0,1,"[[""J03_g0_c1_recipient"", ""keep""]]",keep
J03_g0_c1_recipient,keep,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J03_g0_c1_recipient,keep,old_replay,1,"[[""J03_g0_c1_recipient"", ""keep""]]",d932e39322542d49b6a339cdb3fd5cd7ee09acd22c873e4fb24a7853f53d2109,0,2,[],none
J03_g0_c1_recipient,swap,current,1,"[[""J03_g0_c1_recipient"", ""swap""]]",51534fb58f4b9b54547ba147b37ac697f6f6a7faf6c0f49cf452282a03d10cdb,1,1,"[[""J03_g0_c1_recipient"", ""swap""]]",swap
J03_g0_c1_recipient,swap,forged_opposite,2,"[[""J03_g0_c1_recipient"", ""keep""]]",forged,0,1,"[[""J03_g0_c1_recipient"", ""swap""]]",swap
J03_g0_c1_recipient,swap,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J03_g0_c1_recipient,swap,old_replay,1,"[[""J03_g0_c1_recipient"", ""swap""]]",51534fb58f4b9b54547ba147b37ac697f6f6a7faf6c0f49cf452282a03d10cdb,0,2,[],none
J03_g0_c1_color,keep,current,1,"[[""J03_g0_c1_color"", ""keep""]]",930b945e27d732faf5360e69e434f650863d9b296da261bc3a0edb923e0c3256,1,1,"[[""J03_g0_c1_color"", ""keep""]]",keep
J03_g0_c1_color,keep,forged_opposite,2,"[[""J03_g0_c1_color"", ""swap""]]",forged,0,1,"[[""J03_g0_c1_color"", ""keep""]]",keep
J03_g0_c1_color,keep,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J03_g0_c1_color,keep,old_replay,1,"[[""J03_g0_c1_color"", ""keep""]]",930b945e27d732faf5360e69e434f650863d9b296da261bc3a0edb923e0c3256,0,2,[],none
J03_g0_c1_color,swap,current,1,"[[""J03_g0_c1_color"", ""swap""]]",169e560ade0e47f89969051eedfafcdc0670964096d477ece72402cce777a440,1,1,"[[""J03_g0_c1_color"", ""swap""]]",swap
J03_g0_c1_color,swap,forged_opposite,2,"[[""J03_g0_c1_color"", ""keep""]]",forged,0,1,"[[""J03_g0_c1_color"", ""swap""]]",swap
J03_g0_c1_color,swap,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J03_g0_c1_color,swap,old_replay,1,"[[""J03_g0_c1_color"", ""swap""]]",169e560ade0e47f89969051eedfafcdc0670964096d477ece72402cce777a440,0,2,[],none
J03_g1_c0_recipient,keep,current,1,"[[""J03_g1_c0_recipient"", ""keep""]]",a2e1fbc0e08b76ee58da562bae41c890e9a6ae915c7e2a01b8b7d20cf2d52cc3,1,1,"[[""J03_g1_c0_recipient"", ""keep""]]",keep
J03_g1_c0_recipient,keep,forged_opposite,2,"[[""J03_g1_c0_recipient"", ""swap""]]",forged,0,1,"[[""J03_g1_c0_recipient"", ""keep""]]",keep
J03_g1_c0_recipient,keep,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J03_g1_c0_recipient,keep,old_replay,1,"[[""J03_g1_c0_recipient"", ""keep""]]",a2e1fbc0e08b76ee58da562bae41c890e9a6ae915c7e2a01b8b7d20cf2d52cc3,0,2,[],none
J03_g1_c0_recipient,swap,current,1,"[[""J03_g1_c0_recipient"", ""swap""]]",149b210f1a3305385df0f7d02ba8d94175ef3c9d6d5f443ebb980be259dc5e20,1,1,"[[""J03_g1_c0_recipient"", ""swap""]]",swap
J03_g1_c0_recipient,swap,forged_opposite,2,"[[""J03_g1_c0_recipient"", ""keep""]]",forged,0,1,"[[""J03_g1_c0_recipient"", ""swap""]]",swap
J03_g1_c0_recipient,swap,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J03_g1_c0_recipient,swap,old_replay,1,"[[""J03_g1_c0_recipient"", ""swap""]]",149b210f1a3305385df0f7d02ba8d94175ef3c9d6d5f443ebb980be259dc5e20,0,2,[],none
J03_g1_c0_color,keep,current,1,"[[""J03_g1_c0_color"", ""keep""]]",ca73af3c033d318eb418e7c6b1a16000334f236540d9842ee40d8236e9bfd965,1,1,"[[""J03_g1_c0_color"", ""keep""]]",keep
J03_g1_c0_color,keep,forged_opposite,2,"[[""J03_g1_c0_color"", ""swap""]]",forged,0,1,"[[""J03_g1_c0_color"", ""keep""]]",keep
J03_g1_c0_color,keep,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J03_g1_c0_color,keep,old_replay,1,"[[""J03_g1_c0_color"", ""keep""]]",ca73af3c033d318eb418e7c6b1a16000334f236540d9842ee40d8236e9bfd965,0,2,[],none
J03_g1_c0_color,swap,current,1,"[[""J03_g1_c0_color"", ""swap""]]",80a67c0c0e56a72303f4f71a9267133969b2b58a9ff456b374a7975aee61bea3,1,1,"[[""J03_g1_c0_color"", ""swap""]]",swap
J03_g1_c0_color,swap,forged_opposite,2,"[[""J03_g1_c0_color"", ""keep""]]",forged,0,1,"[[""J03_g1_c0_color"", ""swap""]]",swap
J03_g1_c0_color,swap,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J03_g1_c0_color,swap,old_replay,1,"[[""J03_g1_c0_color"", ""swap""]]",80a67c0c0e56a72303f4f71a9267133969b2b58a9ff456b374a7975aee61bea3,0,2,[],none
J03_g1_c1_recipient,keep,current,1,"[[""J03_g1_c1_recipient"", ""keep""]]",b2a0497bb471427a52c302804e5751a1e9f62e145ea071f05a589afb5177dd95,1,1,"[[""J03_g1_c1_recipient"", ""keep""]]",keep
J03_g1_c1_recipient,keep,forged_opposite,2,"[[""J03_g1_c1_recipient"", ""swap""]]",forged,0,1,"[[""J03_g1_c1_recipient"", ""keep""]]",keep
J03_g1_c1_recipient,keep,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J03_g1_c1_recipient,keep,old_replay,1,"[[""J03_g1_c1_recipient"", ""keep""]]",b2a0497bb471427a52c302804e5751a1e9f62e145ea071f05a589afb5177dd95,0,2,[],none
J03_g1_c1_recipient,swap,current,1,"[[""J03_g1_c1_recipient"", ""swap""]]",245fae94db19d90fe853ceb832c539590f3393e0aac34084e7ae6239e9daf126,1,1,"[[""J03_g1_c1_recipient"", ""swap""]]",swap
J03_g1_c1_recipient,swap,forged_opposite,2,"[[""J03_g1_c1_recipient"", ""keep""]]",forged,0,1,"[[""J03_g1_c1_recipient"", ""swap""]]",swap
J03_g1_c1_recipient,swap,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J03_g1_c1_recipient,swap,old_replay,1,"[[""J03_g1_c1_recipient"", ""swap""]]",245fae94db19d90fe853ceb832c539590f3393e0aac34084e7ae6239e9daf126,0,2,[],none
J03_g1_c1_color,keep,current,1,"[[""J03_g1_c1_color"", ""keep""]]",2cb7e722bdc796e6978dd01555ad12264dccad6f6cd060430a94e6ebfad40393,1,1,"[[""J03_g1_c1_color"", ""keep""]]",keep
J03_g1_c1_color,keep,forged_opposite,2,"[[""J03_g1_c1_color"", ""swap""]]",forged,0,1,"[[""J03_g1_c1_color"", ""keep""]]",keep
J03_g1_c1_color,keep,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J03_g1_c1_color,keep,old_replay,1,"[[""J03_g1_c1_color"", ""keep""]]",2cb7e722bdc796e6978dd01555ad12264dccad6f6cd060430a94e6ebfad40393,0,2,[],none
J03_g1_c1_color,swap,current,1,"[[""J03_g1_c1_color"", ""swap""]]",ef0ed69602e39ad28d913915798496b1483bde08bc193c03e9731a75349be158,1,1,"[[""J03_g1_c1_color"", ""swap""]]",swap
J03_g1_c1_color,swap,forged_opposite,2,"[[""J03_g1_c1_color"", ""keep""]]",forged,0,1,"[[""J03_g1_c1_color"", ""swap""]]",swap
J03_g1_c1_color,swap,revoke,2,[],204f54754f15b3e33247d286443819c6cccb5669de3ac033d374f4efc65ec901,1,2,[],none
J03_g1_c1_color,swap,old_replay,1,"[[""J03_g1_c1_color"", ""swap""]]",ef0ed69602e39ad28d913915798496b1483bde08bc193c03e9731a75349be158,0,2,[],none
